小鸟id	名字多语言	图标	描述多语言	技能多语言	天赋多语言	品质(1普通 2稀有 3史诗 4传说)	颜色(1红色， 2黄色，3蓝色，4绿色)	actor名	默认是body	actorBodyId	部件: 眼镜	部件: 帽子	部件: 嘴巴	部件: 翅膀	部件: 尾巴	部件: 特效	触发天赋行为（0=没有天赋，1战斗，2转换，3采集，4巡逻）	产生币的概率(0-10000)	产生的buff币id（0=不产生）	采集系数	采集CD	攻击力	攻击CD	果币转换率	果币转换CD	飞行速度	采集消耗多少层	采集系数成长	采集CD成长	攻击力成长	攻击CD成长	果币转换率成长	果币转换CD成长	飞行速度成长	对某个颜色方块加成(颜色id:加成百分比0-100) #分割
940302	birdname_940302	set:bird_icon.json image:body_40302	32	skillcontent_1	passivecontent_740302	3	4	g1041_bird.actor	body	40302	@@@	@@@	3	403	403	@@@	1#3#4	1000	1060	1.6	4	9.6	2	256	4	200	2	1.6	0	2	0	320	0	0	1:0#2:0#3:0#4:0
940303	birdname_940303	set:bird_icon.json image:body_40303	33	0	passivecontent_740303	3	4	g1041_bird.actor	body	40303	@@@	@@@	3	403	403	@@@	0	0	0	1.92	3.33	8	2	153.6	4	200	2	1.92	0	2	0	192	0	0	1:0#2:0#3:40#4:0
920301	birdname_920301	set:bird_icon.json image:body_30301	34	skillcontent_5	passivecontent_720301	3	2	g1041_bird.actor	body	30301	@@@	@@@	3	303	303	@@@	3	2667	1070	1.6	4	8.8	2	153.6	4	220	2	1.6	0	2	0	192	0	0	1:0#2:0#3:0#4:0
920302	birdname_920302	set:bird_icon.json image:body_30302	35	skillcontent_8	passivecontent_720302	3	2	g1041_bird.actor	body	30302	@@@	@@@	3	303	303	@@@	3#4	2000	1083	1.92	3.33	8	2	128	4	200	2	1.92	0	2	0	160	0	0	1:0#2:0#3:0#4:0
920303	birdname_920303	set:bird_icon.json image:body_30303	36	0	passivecontent_720303	3	2	g1041_bird.actor	body	30303	@@@	@@@	3	303	303	@@@	0	0	0	1.6	2.67	6.4	2	128	4	200	2	1.6	0	2	0	160	0	0	1:0#2:0#3:0#4:40
910401	birdname_910401	set:bird_icon.json image:body_20401	37	skillcontent_7	passivecontent_710401	4	1	g1041_bird.actor	body	20401	@@@	@@@	4	204	204	@@@	1	1000	1077	2	4	11.97	1.33	384	5	200	2	2	0	2.5	0	480	0	0	1:0#2:0#3:0#4:0
910402	birdname_910402	set:bird_icon.json image:body_20402	38	skillcontent_1	passivecontent_710402	4	1	g1041_bird.actor	body	20402	@@@	@@@	4	204	204	@@@	3#4	2000	1060	2	4	20	2.5	256	4	160	2	2	0	2.5	0	320	0	0	1:0#2:0#3:0#4:0
910403	birdname_910403	set:bird_icon.json image:body_20403	39	skillcontent_4	passivecontent_710403	4	1	g1041_bird.actor	body	20403	@@@	@@@	4	204	204	@@@	3	2667	1069	3	4	12	2	256	5	160	3	3	0	2.5	0	320	0	0	1:50#2:0#3:0#4:0
930401	birdname_930401	set:bird_icon.json image:body_10401	40	skillcontent_3	passivecontent_730401	4	3	g1041_bird.actor	body	10401	@@@	@@@	4	104	104	@@@	3	2667	1068	1.6	3.33	7.98	1.33	204.6	3.33	300	2	1.6	0	2.5	0	255.74	0	0	1:0#2:0#3:0#4:0
930402	birdname_930402	set:bird_icon.json image:body_10402	41	skillcontent_7	passivecontent_730402	4	3	g1041_bird.actor	body	10402	@@@	@@@	4	104	104	@@@	3#4	2000	1077	3	3.08	5	2	255.74	3.33	200	3	3	0	2.5	0	319.68	0	0	1:0#2:0#3:0#4:0
930403	birdname_930403	set:bird_icon.json image:body_10403	42	skillcontent_1	passivecontent_730403	4	3	g1041_bird.actor	body	10403	@@@	@@@	4	104	104	@@@	1#3#4	1000	1060	2.4	3.33	8	2	255.74	3.33	240	3	2.4	0	2.5	0	319.68	0	0	1:0#2:50#3:0#4:0
940401	birdname_940401	set:bird_icon.json image:body_40401	43	skillcontent_6	passivecontent_740401	4	4	g1041_bird.actor	body	40401	@@@	@@@	4	404	404	@@@	3	2667	1071	2.2	3.64	11.01	1.82	281.88	3.64	220	3	2.2	0	2.5	0	352.35	0	0	1:0#2:0#3:0#4:0
940402	birdname_940402	set:bird_icon.json image:body_40402	44	skillcontent_8	passivecontent_740402	4	4	g1041_bird.actor	body	40402	@@@	@@@	4	404	404	@@@	1	1000	1083	1.6	5	10	2	511.49	3.33	200	2	1.6	0	2.5	0	639.36	0	0	1:0#2:0#3:0#4:0
940403	birdname_940403	set:bird_icon.json image:body_40403	45	skillcontent_2	passivecontent_740403	4	4	g1041_bird.actor	body	40403	@@@	@@@	4	404	404	@@@	3#4	2000	1067	2.4	3.33	10	2	306.89	3.33	180	3	2.4	0	2.5	0	383.62	0	0	1:0#2:0#3:50#4:0
920401	birdname_920401	set:bird_icon.json image:body_30401	46	skillcontent_5	passivecontent_720401	4	2	g1041_bird.actor	body	30401	@@@	@@@	4	304	304	@@@	3	2667	1070	2.2	3.64	11.01	1.82	281.88	3.64	220	3	2.2	0	2.5	0	352.35	0	0	1:0#2:0#3:0#4:0
920402	birdname_920402	set:bird_icon.json image:body_30402	47	skillcontent_1	passivecontent_720402	4	2	g1041_bird.actor	body	30402	@@@	@@@	4	304	304	@@@	1#3#4	1000	1060	4	5.71	10	2	256	4	200	4	4	0	2.5	0	320	0	0	1:0#2:0#3:0#4:0
920403	birdname_920403	set:bird_icon.json image:body_30403	48	skillcontent_8	passivecontent_720403	4	2	g1041_bird.actor	body	30403	@@@	@@@	4	304	304	@@@	3	1333	1083	2.4	4	12	2	307.2	4	200	3	2.4	0	2.5	0	384	0	0	1:0#2:0#3:0#4:50
900401	birdname_900401	set:bird_icon.json image:body_event01	49	skillcontent_1	passivecontent_700401	4	0	g1042_bird.actor	body	event01	@@@	event01	event01	event01	1	@@@	3	2667	1061	1.6	3.33	7.98	1.33	204.6	3.33	300	2	1.6	1	2.5	1	255.74	1	1	1:0#2:0#3:0#4:0
